,area,lat,lng
0,"puducherry, India",10.91564885,79.80694879844232
1,"tamil nadu, India",10.9094334,78.3665347
2,"uttar pradesh, India",27.1303344,80.859666
3,"madhya pradesh, India",23.8143419,77.5340719
4,"andhra pradesh, India",15.9240905,80.1863809
5,"tripura, India",23.7750823,91.7025091
6,"lakshadweep, India",10.8132489,73.6804620941119
7,"manipur, India",24.7208818,93.9229386
8,"maharashtra, India",18.9068356,75.6741579
9,"dadra & nagar haveli & daman & diu, India",20.3228008,72.9652007
10,"meghalaya, India",25.5379432,91.2999102
11,"andaman & nicobar islands, India",13.51111965,92.91738841784462
12,"haryana, India",29.0,76.0
13,"rajasthan, India",26.8105777,73.7684549
14,"ladakh, India",33.9456407,77.6568576
15,"punjab, India",30.9293211,75.5004841
16,"assam, India",26.4073841,93.2551303
17,"jharkhand, India",23.4559809,85.2557301
18,"odisha, India",20.5431241,84.6897321
19,"bihar, India",25.6440845,85.906508
20,"kerala, India",10.3528744,76.5120396
21,"karnataka, India",14.5203896,75.7223521
22,"chandigarh, India",30.72984395,76.78414567016054
23,"telangana, India",17.8495919,79.1151663
24,"himachal pradesh, India",31.81676015,77.34932051968858
25,"west bengal, India",22.9964948,87.6855882
26,"gujarat, India",22.3850051,71.745261
27,"sikkim, India",27.601029,88.45413638680145
28,"nagaland, India",26.1630556,94.5884911
29,"mizoram, India",23.2146169,92.8687612
30,"chhattisgarh, India",21.6637359,81.8406351
31,"jammu & kashmir, India",32.7185614,74.8580917
32,"goa, India",15.3004543,74.0855134
33,"arunachal pradesh, India",28.0937702,94.5921326
34,"delhi, India",28.6517178,77.2219388
35,"uttarakhand, India",30.0417376,79.089691
36,"south andaman district, andaman-&-nicobar-islands",10.7056905,92.48746789633373
37,"east godavari district, andhra-pradesh",17.233496,81.7225986
38,"spsr nellore district, andhra-pradesh",14.71875825,79.65961022770595
39,"vizianagaram district, andhra-pradesh",18.110744,83.386585
40,"prakasam district, andhra-pradesh",15.2282086,79.87449940066091
41,"ysr district, andhra-pradesh",17.0771387,81.6653938
42,"west godavari district, andhra-pradesh",16.9550574,81.4530037
43,"kurnool district, andhra-pradesh",15.8344103,78.0499956
44,"chittoor district, andhra-pradesh",13.0108668,79.2249071
45,"krishna district, andhra-pradesh",17.0347692,81.7819183
46,"lower subansiri district, arunachal-pradesh",27.8,93.6
47,"west siang district, arunachal-pradesh",28.4,94.55
48,"upper siang district, arunachal-pradesh",28.6416983,95.0252232
49,"tirap district, arunachal-pradesh",27.5013437,96.5242944
50,"kurung kumey district, arunachal-pradesh",27.98636765,93.15783468644102
51,"siang district, arunachal-pradesh",28.477491999999998,94.81655728795752
52,"changlang district, arunachal-pradesh",27.272007000000002,96.06552596101915
53,"pakke kessang district, arunachal-pradesh",27.1061731,92.9311395
54,"dibang valley district, arunachal-pradesh",28.8291044,95.95540957636018
55,"west kameng district, arunachal-pradesh",27.33862695,92.43336623881613
56,"east siang district, arunachal-pradesh",28.3,95.15
57,"upper subansiri district, arunachal-pradesh",28.3,94.0
58,"east kameng district, arunachal-pradesh",27.55778095,92.96738426595107
59,"lohit district, arunachal-pradesh",28.0060625,96.2431946
60,"tawang district, arunachal-pradesh",27.674194200000002,91.93620587613823
61,"tinsukia district, assam",27.597170900000002,95.56685292013799
62,"lakhimpur district, assam",27.2382645,94.1053145
63,"kamrup district, assam",26.2074223,91.6771799
64,"karbi anglong district, assam",26.0,93.5
65,"dibrugarh district, assam",27.4881672,95.3623358
66,"golaghat district, assam",26.5305611,93.9603353
67,"udalguri district, assam",26.70472375,92.04215071409463
68,"cachar district, assam",25.083333,92.916667
69,"dhemaji district, assam",27.5945155,94.71920979201423
70,"karimganj district, assam",24.86648155,92.35121508187882
71,"dima hasao district, assam",25.400362549999997,93.07522922678905
72,"darrang district, assam",26.75,92.5
73,"hailakandi district, assam",24.6827307,92.5622753
74,"jorhat district, assam",26.7586112,94.20640848109767
75,"purnia district, bihar",25.774436,87.410032125
76,"nalanda district, bihar",25.4374355,85.2919909
77,"nawada district, bihar",24.7270817,84.5693914
78,"siwan district, bihar",26.166667,84.5
79,"muzaffarpur district, bihar",26.1667052,85.4166314
80,"patna district, bihar",25.46737665,85.19581528126407
81,"rohtas district, bihar",24.93928775,84.01945448852067
82,"begusarai district, bihar",25.5,86.25
83,"sitamarhi district, bihar",26.666667,85.5
84,"saran district, bihar",25.6085763,85.1993479
85,"arwal district, bihar",25.2320301,84.6775384
86,"vaishali district, bihar",25.696274,85.2228359
87,"pashchim champaran district, bihar",27.0,84.5
88,"gopalganj district, bihar",26.5,84.333333
89,"lakhisarai district, bihar",25.2830169,86.0190997
90,"aurangabad district, bihar",24.80340125,84.41113582469077
91,"kaimur bhabua district, bihar",24.75750955,83.72099680873878
92,"araria district, bihar",26.3415664,87.9374027
93,"munger district, bihar",25.379510500000002,86.4626467597708
94,"khagaria district, bihar",25.50877,86.4756484
95,"saharsa district, bihar",25.8875611,86.5901104
96,"bhagalpur district, bihar",25.0,86.916667
97,"kishanganj district, bihar",26.29863795,87.95314810923409
98,"gaya district, bihar",25.6058077,85.088915
99,"samastipur district, bihar",25.75,85.916667
100,"banka district, bihar",24.8926007,86.9140729
101,"bhojpur district, bihar",25.25,84.25
102,"dhamtari district, chhattisgarh",20.7077641,81.5396928
103,"korba district, chhattisgarh",22.5198217,82.63500285150224
104,"surajpur district, chhattisgarh",23.209675,82.880353
105,"baloda bazar district, chhattisgarh",21.6632098,82.1493121
106,"sukma district, chhattisgarh",18.3853241,81.65120264041536
107,"raigarh district, chhattisgarh",22.23617945,83.35295335037318
108,"jashpur district, chhattisgarh",22.8825209,84.1362145
109,"surguja district, chhattisgarh",22.94691345,83.1656942260687
110,"dantewada district, chhattisgarh",18.9090479,81.3427523
111,"durg district, chhattisgarh",21.1874054,81.2793137
112,"rajnandgaon district, chhattisgarh",21.166667,81.0
113,"raipur district, chhattisgarh",21.2317387,81.6401796
114,"narayanpur district, chhattisgarh",19.723781,81.2336786
115,"kanker district, chhattisgarh",20.2647118,81.4951987
116,"bilaspur district, chhattisgarh",22.4082821,82.3921724
117,"balrampur district, chhattisgarh",23.616665,83.618798
118,"bijapur district, chhattisgarh",18.7935679,80.815939
119,"bemetara district, chhattisgarh",21.7020322,81.5337224
120,"bastar district, chhattisgarh",19.25,81.25
121,"mahasamund district, chhattisgarh",21.113837,82.092952
122,"diu district, dadra-&-nagar-haveli-&-daman-&-diu",20.7159534,70.9785005
123,"daman district, dadra-&-nagar-haveli-&-daman-&-diu",20.416667,72.883333
124,"south district, delhi",28.594493550000003,76.90650844057825
125,"central district, delhi",11.0121503,76.962482
126,"new delhi district, delhi",-46.34764905,168.01960773993056
127,"west district, delhi",28.594493550000003,76.90650844057825
128,"south west district, delhi",28.594493550000003,76.90650844057825
129,"south east delhi district, delhi",28.5844558,77.2248024
130,"shahdara district, delhi",28.7026978,77.2919762
131,"north east district, delhi",28.699998,77.2709397
132,"east district, delhi",28.6316855,77.330701
133,"north district, delhi",-39.0348782,177.4255459
134,"north goa district, goa",24.9785727,121.5822385
135,"south goa district, goa",15.29079185,73.9549078343693
136,"anand district, gujarat",22.4742502,72.7367582116444
137,"jamnagar district, gujarat",22.31008,70.10300203232322
138,"devbhumi dwarka district, gujarat",22.244475899999998,68.96800187672852
139,"rajkot district, gujarat",22.5307441,70.3025758
140,"botad district, gujarat",22.0456765,71.67217572593728
141,"bharuch district, gujarat",21.82728385,72.89461378721509
142,"bhavnagar district, gujarat",21.562289149999998,71.90747307960464
143,"junagadh district, gujarat",21.340255,70.42022268315017
144,"mahesana district, gujarat",23.57070915,72.44523648734277
145,"the dangs district, gujarat",20.75,73.75
146,"kheda district, gujarat",22.854870499999997,72.99330606361002
147,"surat district, gujarat",21.4626896,72.9515165
148,"porbandar district, gujarat",21.6021982,69.85433746437499
149,"gandhinagar district, gujarat",23.281326200000002,72.65577884095586
150,"panch mahals district, gujarat",23.0,74.0
151,"narmada district, gujarat",21.738303950000002,73.62736015921328
152,"gir somnath district, gujarat",20.9911049,70.68806405046848
153,"valsad district, gujarat",20.3828686,72.9038814
154,"mahisagar district, gujarat",23.1916967,73.6626352964019
155,"sabar kantha district, gujarat",23.8689411,73.01447412154508
156,"tapi district, gujarat",21.1909141,73.55541085745186
157,"vadodara district, gujarat",22.3182519,73.30458875965446
158,"banas kantha district, gujarat",24.26960875,72.16210994579416
159,"amreli district, gujarat",21.4191439,71.25276407265991
160,"ahmadabad district, gujarat",23.0216238,72.5797068
161,"navsari district, gujarat",20.952407,72.9323831
162,"patan district, gujarat",20.96661175,70.42921752675778
163,"kachchh district, gujarat",23.2396061,69.6734288
164,"surendranagar district, gujarat",22.823085,71.55342628734127
165,"morbi district, gujarat",22.79314,70.88832711034716
166,"jind district, haryana",29.5,76.25
167,"rohtak district, haryana",28.8995429,76.5844714
168,"faridabad district, haryana",28.3526818,77.2778173
169,"hisar district, haryana",29.1699202,75.7185553
170,"karnal district, haryana",29.6943382,77.00424800442084
171,"charkhi dadri district, haryana",28.6508033,76.2406402
172,"ambala district, haryana",28.9841361,75.6039914
173,"rewari district, haryana",28.2169291,76.58118448832133
174,"panchkula district, haryana",30.7108567,76.845983
175,"bhiwani district, haryana",28.731232499999997,75.892349866212
176,"gurugram district, haryana",28.4492944,77.03065871006021
177,"kurukshetra district, haryana",30.0,76.75
178,"sirmaur district, himachal-pradesh",30.75,77.5
179,"shimla district, himachal-pradesh",31.23957275,77.71979337036089
180,"bilaspur district, himachal-pradesh",32.4447854,76.0817063
181,"hamirpur district, himachal-pradesh",31.7491333,76.5036832
182,"una district, himachal-pradesh",31.4674349,76.2650802
183,"kangra district, himachal-pradesh",32.213356899999994,76.32112520307928
184,"mandi district, himachal-pradesh",32.5338976,76.0157454
185,"chamba district, himachal-pradesh",32.69301,76.16363499125694
186,"kinnaur district, himachal-pradesh",31.5864184,78.396745
187,"doda district, jammu-&-kashmir",33.13260995,75.58900789003377
188,"samba district, jammu-&-kashmir",32.57591175,75.12034455530063
189,"mirpur district, jammu-&-kashmir",33.1084201,73.7092116
190,"srinagar district, jammu-&-kashmir",34.1178785,74.96591887169342
191,"baramulla district, jammu-&-kashmir",34.17740315,74.31500483039531
192,"jammu district, jammu-&-kashmir",32.7681864,74.92113175477952
193,"ganderbal district, jammu-&-kashmir",34.288932200000005,75.04079833889585
194,"udhampur district, jammu-&-kashmir",32.911964,75.32658448914768
195,"bandipore district, jammu-&-kashmir",34.4563234,74.68249997667994
196,"reasi district, jammu-&-kashmir",33.20599085,74.862679360101
197,"shopian district, jammu-&-kashmir",33.72078365,74.77142439698211
198,"poonch district, jammu-&-kashmir",33.702939,74.24990151547188
199,"kathua district, jammu-&-kashmir",32.5825837,75.61047967120052
200,"kishtwar district, jammu-&-kashmir",33.61562,75.87939724344325
201,"pulwama district, jammu-&-kashmir",33.9490472,75.04183347471374
202,"ramban district, jammu-&-kashmir",33.33328915,75.19847626653356
203,"rajouri district, jammu-&-kashmir",33.26636775,74.34384695789798
204,"kulgam district, jammu-&-kashmir",33.6250187,74.69494583281318
205,"budgam district, jammu-&-kashmir",33.9098746,74.6270356734338
206,"anantnag district, jammu-&-kashmir",33.8096849,75.24945269877892
207,"kupwara district, jammu-&-kashmir",34.5140696,74.19136702721829
208,"ranchi district, jharkhand",23.0,85.0
209,"dumka district, jharkhand",24.26618475,87.25313851905128
210,"gumla district, jharkhand",23.1603759,84.45995652080032
211,"chatra district, jharkhand",24.9303981,87.82697147981766
212,"dhanbad district, jharkhand",25.187490949999997,87.74432799719577
213,"godda district, jharkhand",25.11121955,87.58200008938437
214,"palamu district, jharkhand",23.916667,84.083333
215,"sahebganj district, jharkhand",25.2410414,87.6342904
216,"giridih district, jharkhand",24.25,85.916667
217,"mysuru district, karnataka",12.198843400000001,76.61353212165531
218,"chitradurga district, karnataka",14.3051049,76.52948762295526
219,"kalaburagi district, karnataka",17.24191785,76.7753828143516
220,"ramanagara district, karnataka",12.72465905,77.32018505519862
221,"mandya district, karnataka",12.6336348,76.73023183296073
222,"kodagu district, karnataka",12.2335192,76.2818865
223,"chikkamagaluru district, karnataka",13.400575100000001,75.6327382353719
224,"haveri district, karnataka",14.714635000000001,75.38456743047416
225,"ballari district, karnataka",15.34594225,76.82043303614613
226,"belagavi district, karnataka",15.8572666,74.5069343
227,"kolar district, karnataka",13.1794187,78.26805837975584
228,"uttara kannada district, karnataka",14.724474149999999,74.64223734496612
229,"tumakuru district, karnataka",13.3400771,77.1006208
230,"yadgir district, karnataka",16.7670964,77.1403984
231,"bengaluru urban district, karnataka",12.8660981,77.4366536
232,"chikkaballapura district, karnataka",13.5883185,77.78043012088901
233,"davanagere district, karnataka",14.250412650000001,75.82562831445583
234,"bagalkote district, karnataka",16.28998085,75.58255865030114
235,"vijayapura district, karnataka",16.811059649999997,75.89714732778502
236,"koppal district, karnataka",15.57825725,76.31063911702896
237,"bidar district, karnataka",18.02315245,77.249718672587
238,"raichur district, karnataka",16.054719400000003,76.90160088383311
239,"chamarajanagara district, karnataka",11.9238058,76.9393558
240,"dakshina kannada district, karnataka",12.82133045,75.22767162650372
241,"hassan district, karnataka",13.029374,76.17429357550145
242,"dharwad district, karnataka",15.37259455,75.13728310525259
243,"shivamogga district, karnataka",14.0558284,75.13125339938858
244,"udupi district, karnataka",13.526175049999999,74.87325316307695
245,"gadag district, karnataka",15.416336999999999,75.68075427946448
246,"thiruvananthapuram district, kerala",10.6207081,76.1281782
247,"kasaragod district, kerala",12.42219635,75.19044457747756
248,"malappuram district, kerala",10.61381845,76.51663324239766
249,"pathanamthitta district, kerala",9.32608185,76.68164238146089
250,"wayanad district, kerala",11.2554224,75.78162653483244
251,"alappuzha district, kerala",9.4062067,76.41140427598785
252,"kozhikode district, kerala",11.465593550000001,75.89194000061082
253,"kollam district, kerala",8.8855684,76.5892353
254,"thrissur district, kerala",10.4786547,76.27261253399872
255,"palakkad district, kerala",10.78736915,76.47421718925105
256,"kannur district, kerala",11.9863343,75.54797042899436
257,"kottayam district, kerala",9.7375408,76.5130465
258,"ernakulam district, kerala",10.038394700000001,76.50741452482532
259,"idukki district, kerala",10.0837853,76.3146344
260,"kargil district, ladakh",33.802819,76.4730095688732
261,"leh ladakh district, ladakh",34.1642029,77.5848133
262,"morena district, madhya-pradesh",26.4961372,77.9986659
263,"alirajpur district, madhya-pradesh",22.3118775,74.3555894
264,"sehore district, madhya-pradesh",23.1981078,77.0812948
265,"rajgarh district, madhya-pradesh",25.3338446,77.5083732
266,"khargone district, madhya-pradesh",21.8318939,75.6286115
267,"satna district, madhya-pradesh",24.5684403,80.8321439
268,"narsinghpur district, madhya-pradesh",22.9492648,79.1856846
269,"jabalpur district, madhya-pradesh",23.22420115,79.98248901574848
270,"hoshangabad district, madhya-pradesh",22.7575717,77.7188006
271,"vidisha district, madhya-pradesh",23.5200947,77.8085902
272,"balaghat district, madhya-pradesh",21.8611181,80.32141872874212
273,"betul district, madhya-pradesh",21.9034464,77.8983504
274,"sidhi district, madhya-pradesh",22.7018563,75.86663524861918
275,"datia district, madhya-pradesh",25.6406595,78.4559832
276,"dewas district, madhya-pradesh",22.9622115,76.048227
277,"sheopur district, madhya-pradesh",25.6760912,76.7120469
278,"raisen district, madhya-pradesh",23.3331473,77.7801239
279,"mandsaur district, madhya-pradesh",24.0697229,75.0727169
280,"barwani district, madhya-pradesh",22.7246439,75.8887036
281,"katni district, madhya-pradesh",23.8323636,80.3920242
282,"dindori district, madhya-pradesh",22.9461776,81.0751985
283,"shivpuri district, madhya-pradesh",25.37524125,77.82811932629714
284,"gwalior district, madhya-pradesh",26.2,78.2
285,"ashoknagar district, madhya-pradesh",24.57719,77.73266519115776
286,"sagar district, madhya-pradesh",21.5479393,79.5481447
287,"niwari district, madhya-pradesh",25.5575031,78.1466102
288,"rewa district, madhya-pradesh",23.168924699999998,80.03308113718485
289,"shajapur district, madhya-pradesh",23.4207601,76.27436
